order_date, order_week, distribution_center, sales_order, pool, item_number, mold, order_quantity, ship_month, week_ship, production_department, cast_completed, cast_shortage, casting_deadline, export_to_ie, pending_export, remarks
2024-12-03 00:00:00,W49,TDC,SO24004225,OEM Replenishment order,368638C00-60,,150.0,Jan,W5,Cell-1,,-150,,,-150,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,563302C00-1,,50.0,Jan,W5,Cell-1,,-50,,,-50,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,563302C00-1,,100.0,Jan,W5,Cell-1,,-100,,,-100,
2024-12-03 00:00:00,W49,TDC,SO24004225,OEM Replenishment order,563302C00-3,,50.0,Jan,W5,Cell-1,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,563317C00-1,,100.0,Jan,W5,Cell-1,,-100,,,-100,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,760765C01,,550.0,Jan,W5,Cell-5,,-550,,,-550,
2024-12-03 00:00:00,W49,TDC,SO24004133,OEM Essential Order,762435C01,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,EDC,SO24004125,OEM Replenishment order,763055C00,,4100.0,Jan,W5,Cell-5,,-4100,,,-4100,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,763622C01,,1800.0,Jan,W5,Cell-5,,-1800,,,-1800,
2024-12-03 00:00:00,W49,EDC,SO24004128,OEM Essential Order,763666C00,,6400.0,Jan,W5,Cell-5,,-6400,,,-6400,
2024-12-03 00:00:00,W49,EDC,SO24004143,OEM 2025 Cycle C Pre ship,763785C01,,2661.0,Feb,W8,Cell-5,,-2661,,,-2661,
2024-12-03 00:00:00,W49,PAN,SO24004146,OEM 2025 Cycle C Pre ship,763785C01,,822.0,Feb,W8,Cell-5,,-822,,,-822,
2024-12-03 00:00:00,W49,TDC,SO24004154,OEM 2025 Cycle C Pre ship,763785C01,,97.0,Feb,W8,Cell-5,,-97,,,-97,
2024-12-03 00:00:00,W49,EDC,SO24004144,OEM 2025 Cycle C Global MF,763785C01,,7257.0,Mar,W10,Cell-5,,-7257,,,-7257,
2024-12-03 00:00:00,W49,EDC,SO24004145,OEM 2025 Cycle C Global MF,763785C01,,2152.0,Mar,W10,Cell-5,,-2152,,,-2152,
2024-12-03 00:00:00,W49,PAN,SO24004147,OEM 2025 Cycle C Global MF,763785C01,,7048.0,Mar,W10,Cell-5,,-7048,,,-7048,
2024-12-03 00:00:00,W49,PAN,SO24004148,OEM 2025 Cycle C Global MF,763785C01,,1898.0,Mar,W10,Cell-5,,-1898,,,-1898,
